name,category,title,description,date,keyword
유승민,복지,국립중앙의료원의 설립 및 운영에 관한 법률 일부개정법률안	,,2014-02-05,국립중앙의료원
유승민,정치,행정기관 소속 위원회의 설치·운영에 관한 법률 일부개정법률안	,,2014-02-05,행정기관
유승민,정치,지방자치법 일부개정법률안	,,2014-02-05,지방자치
유승민,기타,도로교통법 일부개정법률안	,,2014-02-05,도로교통법
유승민,경제,신용보증기금법 일부개정법률안	,,2014-02-05,신용보증기금
유승민,민생,특정범죄 가중처벌 등에 관한 법률 일부개정법률안	,,2014-02-05,특정범죄
유승민,경제,기술신용보증기금법 일부개정법률안	,,2014-02-05,기술신용보증기금
유승민,기타,정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안	,,2014-02-05,정부출연연구기관
유승민,기타,생활체육진흥법안,,2014-02-07,생활체육진흥법
유승민,기타,형사소송법 일부개정법률안,,2014-02-12,형사소송
유승민,안보,향토예비군 설치법 일부개정법률안,,2014-02-20,향토예비군
유승민,복지,약사법 일부개정법률안,,2014-02-27,약사법
유승민,경제,장사 등에 관한 법률 일부개정법률안,,2014-03-06,장사
유승민,기타,해양경제특별구역의 지정 및 운영에 관한 특별법안,,2014-03-07,해양경제특별구역
유승민,기타,형법 일부개정법률안,,2014-03-19,형법
유승민,경제,특정경제범죄 가중처벌 등에 관한 법률 일부개정법률안,,2014-03-19,특정경제범죄
유승민,기타,공공기관 지방이전에 따른 혁신도시 건설 및 지원에 관한 특별법 일부개정법률안	,,2014-03-20,공공기관
유승민,기타,공공기관 지방이전에 따른 혁신도시 건설 및 지원에 관한 특별법 일부개정법률안	,,2014-03-21,공공기관
유승민,경제,조세특례제한법 일부개정법률안	,,2014-03-24,조세특례
유승민,정치,국회법 일부개정법률안	,,2014-03-25,국회법
유승민,기타,과학기술인공제회법 일부개정법률안,,2014-03-28,과학기술인공제
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2014-03-31,국무총리
유승민,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문),,2014-03-31,국무총리
유승민,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문),,2014-03-31,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문),,2014-03-31,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문),,2014-03-31,국무총리
유승민,안보,육군3사관학교 설치법 일부개정법률안	,,2014-04-11,육군사관학교
유승민,민생,도로교통법 일부개정법률안,,2014-04-14,도로교통
유승민,정치,국회법 일부개정법률안	,,2014-04-16,국회법
유승민,경제,조세특례제한법 일부개정법률안,,2014-04-17,조세특례
유승민,역사,세월호 침몰 피해자 및 피해지역 지원을 위한 결의안,,2014-04-28,세월호
유승민,경제,사회적경제 기본법안	,,2014-04-30,"사회적, 경제"
유승민,경제,국가재정법 일부개정법률안	,,2014-04-30,국가재정법
유승민,기타,개인정보 보호법 일부개정법률안	,,2014-05-08,개인정보
유승민,기타,정부위원 출석요구의 건	,,2014-05-20,정부위원
유승민,기타,해양환경관리법 일부개정법률안	,,2014-05-22,해양환경관리
유승민,기타,인성교육진흥법안	,,2014-05-26,인성교육
유승민,안보,참전유공자예우 및 단체설립에 관한 법률 일부개정법률안	,,2014-05-29,"참전자, 유공자"
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2014-06-10,국무총리
유승민,경제,채무자 회생 및 파산에 관한 법률 일부개정법률안,,2014-06-11,채무자
유승민,기타,국가회계법 일부개정법률안	,,2014-06-11,국가회계
유승민,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2014-06-17,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치ㆍ외교ㆍ통일ㆍ안보에 관한 질문)	,,2014-06-17,국무총리
유승민,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2014-06-17,국무총리
유승민,기타,소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안,,2014-06-19,소방시설
유승민,정치,비위공직자의 의원면직 처리제한에 관한 법률안	,,2014-06-19,비위공직자
유승민,복지,국민건강증진법 일부개정법률안,,2014-06-20,국민건강증진법
유승민,기타,도로교통법 일부개정법률안,,2014-06-24,도로교통
유승민,경제,조세특례제한법 일부개정법률안,,2014-07-01,조세특례제한
유승민,경제,외국인토지법 일부개정법률안,,2014-07-02,외국인
유승민,기타,교통약자의 이동편의 증진법 일부개정법률안,,2014-07-03,교통약자
유승민,복지,국민건강보험법 일부개정법률안,,2014-07-07,국민건강보험
유승민,기타,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,,2014-07-07,정보통신망
유승민,정치,공직선거법 일부개정법률안	,,2014-07-08,공직선거법
유승민,정치,청원법 일부개정법률안	,,2014-07-08,청원법
